Axis1,Axis2,Axis3,label_name
-0.676,0.367,0.266,grazing
-0.844,0.281,0.262,grazing
-0.828,0.277,0.246,grazing
-0.813,0.195,0.184,grazing
-0.797,0.27,0.191,grazing
-0.813,0.273,0.035,grazing
-0.672,0.238,0.211,grazing
-0.621,0.211,0.207,grazing
-0.785,0.207,0.16,grazing
-0.953,0.246,0.137,grazing
-1.02,0.188,0.133,grazing
-1.02,0.246,0.203,grazing
-0.957,0.254,0.301,grazing
-0.887,0.25,0.238,grazing
-0.813,0.301,0.227,grazing
-0.758,0.262,0.207,grazing
-0.758,0.152,0.168,grazing
-0.75,0.063,0.164,grazing
-0.746,-0.016,0.156,grazing
-0.805,0.098,0.063,grazing
-0.723,0.098,0.199,grazing
-0.809,0.152,0.227,grazing
-1.02,0.164,0.152,grazing
-1.03,0.176,0.117,grazing
-1,0.164,0.172,grazing
-0.887,0.246,0.211,grazing
-0.816,0.117,0.297,grazing
-0.773,0.117,0.254,grazing
-0.758,0.074,0.227,grazing
-0.703,-0.086,0.148,grazing
-0.789,-0.281,0.027,grazing
-0.781,-0.254,0.039,grazing
-0.805,-0.086,0.113,grazing
-0.855,-0.035,0.016,grazing
-0.797,0.023,0.277,grazing
-0.719,0.109,0.297,grazing
-0.754,0.047,0.332,grazing
-0.789,0.059,0.336,grazing
-0.738,-0.082,0.219,grazing
-0.691,-0.113,0.398,grazing
-0.891,-0.055,0.332,grazing
-1.02,0.055,0.266,grazing
-0.895,0.047,0.301,grazing
-0.777,0,0.293,grazing
-0.773,0.094,0.273,grazing
-0.742,0.16,0.301,grazing
-0.777,0.285,0.191,grazing
-0.723,0.203,0.273,grazing
-0.793,0.121,0.285,grazing
-0.738,0.223,0.289,grazing
-0.883,0.316,0.203,grazing
-0.816,0.32,0.203,grazing
-0.82,0.305,0.219,grazing
-0.758,0.297,0.285,grazing
-0.813,0.395,0.273,grazing
-0.84,0.355,0.336,grazing
-0.801,0.355,0.332,grazing
-0.699,0.371,0.293,grazing
-0.68,0.18,0.332,grazing
-0.723,0.441,0.367,grazing
-0.672,0.246,0.496,grazing
-0.883,0.363,0.266,grazing
-0.949,0.324,0.234,grazing
-0.754,0.363,0.504,grazing
-0.719,0.34,0.406,grazing
-0.883,0.27,0.23,grazing
-0.941,0.27,0.242,grazing
-0.828,0.145,0.313,grazing
-0.848,0.363,0.313,grazing
-0.883,-0.07,0.184,grazing
-0.824,-0.289,0.063,grazing
-0.418,0.094,0.203,grazing
-0.566,0.063,0.23,grazing
-0.582,0.02,0.277,grazing
-1.22,0.207,0.027,grazing
-0.715,-0.148,0.293,grazing
-0.895,-0.113,0.16,grazing
-0.578,-0.023,0.184,grazing
-1.02,0.145,0.098,grazing
-0.922,0.316,0.367,grazing
-0.895,0.359,0.262,grazing
-1.09,0.359,0.266,grazing
-0.969,0.148,0.145,grazing
-0.766,0.039,0.156,grazing
-0.77,-0.047,0.199,grazing
-0.641,0.223,0.113,grazing
-0.531,0.176,0.281,grazing
-0.961,0.258,-0.051,grazing
-0.488,0.109,0.215,grazing
-0.563,0.152,0.176,grazing
-0.684,0.148,0.18,grazing
-0.914,0.273,0.164,grazing
-0.945,0.398,0.355,grazing
-0.863,0.453,0.324,grazing
-0.715,0.223,0.348,grazing
-0.867,0.582,0.441,grazing
-1.43,0.621,0.324,grazing
-1.05,0.43,0.27,grazing
-0.625,0.066,0.137,grazing
