Axis1,Axis2,Axis3,label_name
-0.656,-0.063,0.313,grazing
-0.945,0.047,0.348,grazing
-0.906,-0.039,0.664,grazing
-0.816,-0.336,0.348,grazing
-0.863,-0.121,0.457,grazing
-0.992,-0.082,0.324,grazing
-0.832,-0.094,0.645,grazing
-0.699,-0.352,0.305,grazing
-0.359,-0.738,0.297,grazing
-0.91,-0.145,0.648,grazing
-1.33,0.301,0.563,grazing
-1,-0.004,0.434,grazing
-0.949,-0.125,0.523,grazing
-0.438,-0.5,0.313,grazing
-0.57,-0.125,0.402,grazing
-0.891,0.059,0.281,grazing
-0.617,-0.055,0.598,grazing
-0.703,-0.066,0.355,grazing
-0.648,-0.07,0.566,grazing
-1.07,0.066,0.344,grazing
-0.895,0.078,0.664,grazing
-1.12,-0.043,0.57,grazing
-1.25,-0.336,0.371,grazing
-0.848,-0.141,0.445,grazing
-0.488,-0.234,0.391,grazing
-0.172,-0.547,0.297,grazing
-0.648,-0.309,0.379,grazing
-0.707,-0.059,0.59,grazing
-1.26,0.238,0.656,grazing
-0.992,0.082,0.387,grazing
-0.93,0.129,0.418,grazing
-0.629,-0.035,0.738,grazing
-0.809,-0.336,0.348,grazing
-0.406,-0.316,0.457,grazing
-0.82,-0.035,0.418,grazing
-1,0.109,0.297,grazing
-0.527,0.043,0.699,grazing
-0.918,-0.32,0.348,grazing
-0.793,-0.113,0.59,grazing
-0.926,-0.047,0.215,grazing
-0.691,-0.027,0.676,grazing
-1.06,0.012,0.652,grazing
-1.16,-0.316,0.383,grazing
-0.898,-0.012,0.535,grazing
-0.516,-0.188,0.469,grazing
-0.234,-0.313,0.375,grazing
-0.473,-0.184,0.605,grazing
-0.793,0.059,0.559,grazing
-0.902,0.145,0.594,grazing
-1.11,0.137,0.391,grazing
-0.637,0.004,0.934,grazing
-0.719,-0.188,0.418,grazing
-0.613,-0.098,0.594,grazing
-1.06,0.16,0.395,grazing
-0.863,-0.063,0.605,grazing
-0.855,-0.145,0.785,grazing
-1.34,-0.211,0.285,grazing
-0.852,0.207,0.656,grazing
-0.457,-0.059,0.566,grazing
-0.508,-0.172,0.445,grazing
-0.496,-0.008,0.563,grazing
-0.504,-0.094,0.512,grazing
-0.664,0.02,0.598,grazing
-0.773,0.055,0.656,grazing
-0.816,0.016,0.633,grazing
-0.965,0.117,0.512,grazing
-1.15,0.066,0.539,grazing
-0.824,0.059,0.555,grazing
-0.613,0.102,0.656,grazing
-0.754,0.012,0.5,grazing
-0.68,-0.031,0.563,grazing
-0.648,-0.074,0.602,grazing
-0.73,-0.125,0.523,grazing
-0.789,-0.25,0.406,grazing
-0.785,-0.102,0.504,grazing
-0.746,0.07,0.617,grazing
-0.969,0.063,0.395,grazing
-0.473,0.004,1.02,grazing
-0.762,-0.234,0.313,grazing
-0.551,-0.117,0.629,grazing
-1.02,-0.02,0.305,grazing
-0.773,-0.074,0.652,grazing
-0.848,-0.102,0.898,grazing
-1.13,-0.465,0.32,grazing
-1.07,-0.031,0.48,grazing
-0.695,0.309,0.613,grazing
-0.055,-0.109,0.578,grazing
-0.391,-0.582,0.184,grazing
-0.637,-0.09,0.578,grazing
-0.785,0.195,0.66,grazing
-1.11,0.258,0.637,grazing
-0.941,0.027,0.449,grazing
-1.11,0.02,0.523,grazing
-0.613,-0.125,0.566,grazing
-0.523,0.066,0.629,grazing
-0.711,-0.039,0.563,grazing
-0.746,-0.039,0.527,grazing
-0.84,0.047,0.578,grazing
-0.879,-0.059,0.598,grazing
-0.5,-0.41,0.426,grazing
-0.746,0.289,0.688,grazing
-1.13,0.145,0.395,grazing
-0.512,-0.066,1.06,grazing
-0.766,-0.344,0.348,grazing
-0.563,-0.109,0.652,grazing
-0.926,0,0.359,grazing
-0.797,0.059,0.652,grazing
-1.06,0.211,0.777,grazing
-1.22,-0.289,0.484,grazing
-1.2,-0.066,0.504,grazing
-0.781,0.02,0.469,grazing
-0.273,-0.684,0.211,grazing
-0.328,-0.543,0.406,grazing
-0.648,0.02,0.391,grazing
-1.04,0.383,0.457,grazing
-0.801,-0.02,0.34,grazing
-1.08,0.176,0.598,grazing
-0.918,-0.051,0.488,grazing
-0.969,0.09,0.348,grazing
-0.395,-0.383,0.621,grazing
-0.695,-0.512,0.375,grazing
-0.488,-0.254,0.488,grazing
-1.06,0.094,0.383,grazing
-0.934,-0.031,0.438,grazing
-0.73,-0.16,0.707,grazing
-0.695,-0.336,0.453,grazing
-0.75,-0.074,0.492,grazing
-1.02,-0.074,0.281,grazing
-0.844,-0.078,0.711,grazing
-0.777,-0.293,0.508,grazing
-0.656,-0.305,0.52,grazing
-1.49,-0.355,0.289,grazing
-0.996,-0.07,0.344,grazing
-0.473,0.043,0.465,grazing
-0.352,0.074,0.352,grazing
-0.348,0.023,0.516,grazing
-0.957,0.031,0.156,grazing
-0.52,0.098,0.656,grazing
-0.883,-0.09,0.371,grazing
-0.648,-0.25,0.512,grazing
-0.906,-0.02,0.219,grazing
-0.93,0.121,0.621,grazing
-1.02,0.031,0.781,grazing
-1.31,-0.285,0.238,grazing
-1.23,0.086,0.563,grazing
-0.871,0.258,0.41,grazing
-0.484,-0.16,0.699,grazing
-0.406,-0.645,0.215,grazing
-0.582,-0.094,0.355,grazing
-0.797,0.055,0.34,grazing
-1,0.363,0.477,grazing
-0.73,-0.082,0.133,grazing
-1,-0.023,0.344,grazing
-0.961,0.027,0.328,grazing
-0.656,0.09,0.488,grazing
-0.801,0.043,0.355,grazing
-0.73,-0.059,0.438,grazing
-0.723,-0.23,0.418,grazing
-0.789,-0.203,0.391,grazing
-0.82,-0.348,0.293,grazing
-0.711,-0.176,0.508,grazing
-0.711,-0.172,0.422,grazing
-0.883,-0.277,0.391,grazing
-0.852,-0.305,0.309,grazing
-1,-0.336,0.426,grazing
-0.891,-0.121,0.371,grazing
-0.836,-0.012,0.441,grazing
-0.777,-0.031,0.402,grazing
-0.73,-0.137,0.391,grazing
-0.633,-0.379,0.355,grazing
-0.699,-0.484,0.379,grazing
-0.902,-0.492,0.273,grazing
-0.855,-0.324,0.555,grazing
-0.809,-0.293,0.355,grazing
-0.871,-0.27,0.359,grazing
-0.762,-0.266,0.348,grazing
-0.797,-0.398,0.391,grazing
-0.73,-0.445,0.285,grazing
-0.609,-0.383,0.32,grazing
-0.641,-0.223,0.414,grazing
-0.629,-0.309,0.367,grazing
-0.652,-0.375,0.316,grazing
-0.625,-0.406,0.348,grazing
-0.691,-0.422,0.391,grazing
-0.785,-0.523,0.262,grazing
-0.648,-0.41,0.523,grazing
-0.707,-0.395,0.352,grazing
-0.816,-0.293,0.43,grazing
-0.82,-0.328,0.438,grazing
-0.824,-0.426,0.469,grazing
-0.68,-0.387,0.371,grazing
-0.605,-0.223,0.469,grazing
-0.637,-0.148,0.52,grazing
-0.605,-0.203,0.531,grazing
-0.672,-0.336,0.422,grazing
-0.617,-0.391,0.465,grazing
-0.605,-0.461,0.453,grazing
-0.605,-0.496,0.301,grazing
-0.473,-0.391,0.586,grazing
-0.707,-0.281,0.496,grazing
-0.672,-0.375,0.461,grazing
-0.813,-0.359,0.457,grazing
-0.879,-0.504,0.453,grazing
-0.711,-0.496,0.328,grazing
-0.563,-0.391,0.336,grazing
-0.602,-0.266,0.395,grazing
-0.77,-0.176,0.363,grazing
-0.809,-0.254,0.324,grazing
-0.824,-0.211,0.367,grazing
-0.91,-0.238,0.398,grazing
-0.973,-0.297,0.285,grazing
-0.863,-0.199,0.461,grazing
-0.859,-0.207,0.273,grazing
-0.652,-0.176,0.309,grazing
-0.758,-0.16,0.297,grazing
-0.867,-0.285,0.316,grazing
-0.781,-0.227,0.211,grazing
-0.707,-0.086,0.336,grazing
-0.801,-0.023,0.375,grazing
-0.965,0.004,0.422,grazing
-0.895,-0.066,0.375,grazing
-0.836,-0.172,0.395,grazing
-0.766,-0.328,0.277,grazing
-0.641,-0.246,0.492,grazing
-0.875,-0.211,0.371,grazing
-0.887,-0.285,0.352,grazing
-0.863,-0.129,0.449,grazing
-1.09,-0.047,0.336,grazing
-0.898,-0.063,0.305,grazing
-0.766,0.039,0.281,grazing
-0.551,0.043,0.445,grazing
-0.813,0.039,0.355,grazing
-0.727,0.043,0.363,grazing
-0.684,0.035,0.352,grazing
-0.688,-0.254,0.348,grazing
-0.75,0.043,0.266,grazing
-1.14,0.227,0.316,grazing
-0.77,0.117,0.203,grazing
-0.695,0.016,0.477,grazing
-0.734,0.031,0.41,grazing
-0.965,0.168,0.234,grazing
-0.922,0.273,0.43,grazing
-1.15,0.168,0.691,grazing
-1.22,-0.148,0.18,grazing
-0.66,0.324,0.434,grazing
-0.953,0.23,0.484,grazing
-0.656,-0.344,0.234,grazing
-0.512,-0.098,0.27,grazing
-0.582,-0.078,0.227,grazing
-0.902,0.156,0.309,grazing
-1.03,0.492,0.402,grazing
-0.73,0.246,0.457,grazing
-1.02,-0.031,0.363,grazing
-0.836,0.195,0.25,grazing
-0.676,-0.09,0.645,grazing
-0.625,-0.07,0.328,grazing
-0.492,-0.016,0.422,grazing
-1.09,0.016,0.141,grazing
-0.938,0.055,0.492,grazing
-1.07,0.074,0.406,grazing
-0.848,-0.25,0.375,grazing
-0.574,-0.27,0.426,grazing
-0.699,-0.352,0.383,grazing
-1.49,-0.438,0.246,grazing
-1.16,-0.051,0.422,grazing
-0.816,-0.027,0.375,grazing
-0.383,0.082,0.316,grazing
-0.637,0.164,0.309,grazing
-0.703,0.082,0.125,grazing
-0.543,-0.051,0.496,grazing
-0.605,-0.164,0.293,grazing
-0.824,-0.145,0.191,grazing
-1.2,0.121,0.262,grazing
-0.965,0.102,0.563,grazing
-1.19,-0.129,0.199,grazing
-1.09,-0.32,0.203,grazing
-0.285,0.059,0.531,grazing
-0.203,0.219,0.758,grazing
-0.699,-0.074,0.602,grazing
-0.945,-0.156,0.445,grazing
-1.02,-0.145,0.516,grazing
-1.03,-0.023,0.359,grazing
-0.77,0.148,0.465,grazing
-1.11,0.391,0.492,grazing
-0.555,0.242,0.527,grazing
-0.664,0.082,0.605,grazing
-0.938,-0.25,0.293,grazing
-0.973,-0.176,0.598,grazing
-0.988,-0.273,0.277,grazing
-0.727,0.004,0.379,grazing
-0.484,-0.152,0.633,grazing
-0.492,-0.293,0.391,grazing
-0.605,0.016,0.676,grazing
-1.2,-0.004,0.242,grazing
-0.648,-0.059,0.766,grazing
-0.742,-0.266,0.344,grazing
-0.699,-0.16,0.543,grazing
-1.03,-0.043,0.266,grazing
-0.875,-0.008,0.719,grazing
-0.766,-0.367,0.434,grazing
-0.617,-0.531,0.406,grazing
-0.992,-0.27,0.512,grazing
-1.09,-0.164,0.363,grazing
-0.75,-0.059,0.426,grazing
-0.715,-0.02,0.547,grazing
-0.469,-0.07,0.41,grazing
-0.953,-0.047,0.242,grazing
-0.621,-0.152,0.434,grazing
-0.664,-0.223,0.527,grazing
-0.527,-0.281,0.418,grazing
-0.887,-0.063,0.355,grazing
-1.13,-0.121,0.238,grazing
-0.789,-0.063,0.668,grazing
-1.03,-0.172,0.555,grazing
-1.18,-0.598,0.488,grazing
-1.22,-0.145,0.438,grazing
-0.445,-0.344,0.305,grazing
-0.203,-0.422,0.34,grazing
-0.344,0.219,0.469,grazing
-0.836,0.309,0.543,grazing
-1.05,0.113,0.234,grazing
-0.656,-0.008,0.648,grazing
-0.734,-0.281,0.406,grazing
-0.84,-0.066,0.496,grazing
-1.19,0.129,0.406,grazing
-0.98,-0.121,0.691,grazing
-0.914,-0.227,0.605,grazing
-0.949,0.262,0.508,grazing
-0.379,-0.121,0.488,grazing
-0.285,-0.762,0.254,grazing
-0.5,-0.281,0.461,grazing
-0.684,0.047,0.68,grazing
-1.01,-0.152,0.473,grazing
-1.16,0.277,0.77,grazing
-0.938,-0.004,0.617,grazing
-0.691,-0.168,0.703,grazing
-0.453,-0.172,0.547,grazing
-0.617,-0.035,0.578,grazing
-1.12,-0.07,0.5,grazing
-0.617,-0.117,0.855,grazing
-0.59,-0.27,0.531,grazing
-0.23,-0.148,0.77,grazing
-0.875,-0.039,0.473,grazing
-0.852,-0.141,0.668,grazing
-1.17,0.031,0.859,grazing
-1.07,-0.559,0.742,grazing
-0.809,-0.43,0.801,grazing
-0.465,-0.156,0.672,grazing
-0.406,-0.02,0.512,grazing
-0.406,0.215,0.691,grazing
-0.586,0.133,0.418,grazing
-1.06,0.102,0.461,grazing
-1.18,0.199,0.82,grazing
-1.03,-0.441,0.73,grazing
-1.36,-0.113,0.484,grazing
-0.313,-0.719,0.887,grazing
-0.008,-0.633,0.258,grazing
-0.25,0.266,0.656,grazing
-0.699,0.445,0.805,grazing
-1.01,-0.121,0.395,grazing
-1.21,0.086,0.637,grazing
-0.957,-0.047,0.586,grazing
-0.781,-0.301,0.656,grazing
-0.457,-0.32,0.488,grazing
-0.523,-0.047,0.41,grazing
-1.18,0.066,0.355,grazing
-0.582,0.039,0.871,grazing
-0.777,-0.148,0.445,grazing
-0.688,-0.168,0.648,grazing
-1.17,-0.055,0.305,grazing
-0.766,0.051,0.844,grazing
-0.906,-0.215,0.785,grazing
-1.3,-0.418,0.344,grazing
-0.949,0.105,0.527,grazing
-0.152,-0.23,0.633,grazing
-0.203,-0.48,0.133,grazing
-0.543,0.027,0.457,grazing
-0.715,0.07,0.578,grazing
-1.05,-0.082,0.297,grazing
-1.18,0.227,0.469,grazing
-0.68,0.027,0.613,grazing
-0.816,-0.285,0.273,grazing
-0.414,-0.027,0.68,grazing
-1.17,-0.039,0.25,grazing
-0.879,0.023,0.336,grazing
-0.508,-0.09,0.797,grazing
-0.715,-0.266,0.289,grazing
-0.816,-0.031,0.598,grazing
-1.19,0.02,0.188,grazing
-0.777,0.07,0.512,grazing
-0.668,0.086,0.496,grazing
-0.516,-0.207,0.113,grazing
-0.125,-0.152,0.496,grazing
-0.906,0.109,0.945,grazing
-1.49,0.355,0.98,grazing
-1.6,-0.445,0.25,grazing
-0.75,-0.371,0.461,grazing
-0.316,0.098,0.543,grazing
-0.863,0.238,0.25,grazing
-0.371,0.25,0.816,grazing
-0.566,0.137,0.43,grazing
-0.637,0.156,0.695,grazing
-1.39,0.148,0.285,grazing
-0.852,0.141,0.609,grazing
-0.766,-0.188,0.824,grazing
-1.27,-0.012,0.258,grazing
-1.3,0.242,0.34,grazing
-0.684,-0.008,0.469,grazing
-0.25,-0.246,0.609,grazing
-0.527,-0.246,0.297,grazing
-0.68,0.117,0.508,grazing
